category,subcategory,symptoms,step_number,diagnosis_step,possible_results,vehicle_type,fuel_type,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,estimated_cost_inr,urgency,safety_warning
,,,,,,Car,Petrol/Diesel,Engine sputters at high speeds; Loss of power,Fuel Pump,medium,no,Basic toolkit,Test fuel pump pressure. Inspect fuel pump for leaks or damage,"If issue continues after basic inspection, visit a mechanic for fuel pump diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Fuel odor inside vehicle; Visible fuel leak under vehicle,Fuel Tank,medium,no,Basic toolkit,Inspect fuel tank for leaks or damage. Check fuel filler cap for seal,"If issue continues after basic inspection, visit a mechanic for fuel tank diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine hesitates on acceleration; Stalling at idle,Throttle Position Sensor,medium,no,Basic toolkit,Test throttle position sensor (TPS) voltage. Inspect TPS wiring for damage or corrosion,"If issue continues after basic inspection, visit a mechanic for throttle position sensor diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Soft brake pedal; Brake warning light on,Brake Fluid,high,yes,Basic toolkit,Check brake fluid level and condition. Inspect brake lines for leaks,"If issue continues after basic inspection, visit a mechanic for brake fluid diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Low coolant warning light,Coolant Reservoir,high,yes,Basic toolkit,Check coolant level in reservoir. Inspect reservoir for cracks or leaks,"If issue continues after basic inspection, visit a mechanic for coolant reservoir diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Whining noise when turning; Stiff steering wheel,Power Steering Fluid,medium,yes,Basic toolkit,Check power steering fluid level. Inspect power steering hoses for leaks,"If issue continues after basic inspection, visit a mechanic for power steering fluid diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Engine overheating; Coolant leak,Radiator,high,no,Basic toolkit,Inspect radiator for leaks or damage. Check radiator cap for proper seal,"If issue continues after basic inspection, visit a mechanic for radiator diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,No washer fluid spray; Weak washer fluid spray,Windshield Washer Fluid,medium,yes,Basic toolkit,Check washer fluid level. Inspect washer fluid pump for operation,"If issue continues after basic inspection, visit a mechanic for windshield washer fluid diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Soft clutch pedal; Clutch slipping,Clutch Master Cylinder,medium,no,Basic toolkit,Check clutch fluid level. Inspect master cylinder for leaks,"If issue continues after basic inspection, visit a mechanic for clutch master cylinder diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Slipping gears; Shuddering during acceleration,Torque Converter,medium,no,Basic toolkit,Inspect torque converter for leaks or damage. Check transmission fluid level and condition,"If issue continues after basic inspection, visit a mechanic for torque converter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Gears slipping; Transmission overheating,Transmission Fluid,high,yes,Basic toolkit,Check transmission fluid level and condition. Inspect transmission pan and seals for leaks,"If issue continues after basic inspection, visit a mechanic for transmission fluid diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Delayed shifting; Transmission slipping,Transmission Filter,medium,yes,Basic toolkit,Inspect transmission filter for clogs or debris. Replace transmission filter if necessary,"If issue continues after basic inspection, visit a mechanic for transmission filter diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Erratic shifting; Transmission won't shift gears,Transmission Solenoid,high,no,Basic toolkit,Test transmission solenoids for electrical continuity. Inspect wiring harness for damage or corrosion,"If issue continues after basic inspection, visit a mechanic for transmission solenoid diagnosis.",500-10000,immediate,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Grinding noise from wheels; Uneven tire wear,Wheel Bearing,medium,no,Basic toolkit,Check wheel bearing for play. Inspect bearing for signs of damage or corrosion,"If issue continues after basic inspection, visit a mechanic for wheel bearing diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,TPMS warning light on; Low tire pressure,Tire Pressure Monitoring System (TPMS),medium,no,Basic toolkit,Check tire pressures with gauge. Inspect TPMS sensors for damage or corrosion,"If issue continues after basic inspection, visit a mechanic for tire pressure monitoring system (tpms) diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Clicking or popping noise when turning; Wheel wobbling,Wheel Hub,medium,no,Basic toolkit,Inspect wheel hub for play or bearing noise. Check wheel bearings for wear,"If issue continues after basic inspection, visit a mechanic for wheel hub diagnosis.",500-10000,soon,Be careful while working near moving or hot vehicle parts.
,,,,,,Car,Petrol/Diesel,Brake pedal feels soft,Low brake fluid or brake leak,high,yes,Brake fluid,Check brake fluid level. Refill if low. Inspect for visible leaks.,"If pedal still feels soft, mechanic should inspect brake lines or master cylinder.",300-8000,immediate,Driving with faulty brakes is dangerous.
,,,,,,Car,Petrol/Diesel,Battery warning light on,Alternator failure,high,no,Multimeter,Check battery terminals and look for loose alternator belt.,Mechanic should test charging system and replace alternator if needed.,2500-12000,immediate,Vehicle may stop suddenly if charging system fails.
,,,,,,Car,Petrol/Diesel,Engine overheating,"Coolant leak, faulty radiator fan, stuck thermostat",high,partially,Coolant bottle,Turn off engine. Let it cool. Check coolant level and radiator fan operation.,"If overheating continues, mechanic should inspect radiator, thermostat, or head gasket.",500-25000,immediate,Never open radiator cap while engine is hot.
,,,,,,Car,Petrol/Diesel,Transmission slipping,Low or contaminated transmission fluid,high,partially,Transmission fluid,Check transmission fluid level and condition.,"If slipping continues, internal transmission wear may require mechanic repair.",1000-50000,soon,Ignoring transmission issues can lead to complete failure.
